lr-Adam,step,train/loss,epoch
1e-08,0,,
,49,199.27450561523438,0
,99,146.2328338623047,0
,149,194.7554168701172,0
,199,140.9275665283203,0
,249,194.2710723876953,0
,299,195.02688598632812,0
,349,159.3996124267578,0
,399,237.01593017578125,0
,449,181.6296844482422,0
,499,140.60519409179688,0
